texto,nota,data,app,sentimento,texto_preprocessado,texto_stemmed,texto_lemmatized
Boa,3,2026-02-26 05:08:21,Hotmart Sparkle,Neutro,boa,boa,
"Eu achei bom em relação a organização de textos e assuntos. Porém eu percebi que as tarefas que são passadas após ler o texto são muito simples, eu leio o texto e o que me aparece é uma pergunta óbvia. Eu acho que deveria ter atividades que realmente treinam e ensinam na prática sobre os assuntos. Enfim, é um aplicativo mais voltado para a leitura ou estudos não tão práticos.",3,2024-11-10 13:12:29,Quizlet,Neutro,eu achei bom em relação a organização de textos e assuntos porém eu percebi que as tarefas que são passadas após ler o texto são muito simples eu leio o texto e o que me aparece é uma pergunta óbvia eu acho que deveria ter atividades que realmente treinam e ensinam na prática sobre os assuntos enfim é um aplicativo mais voltado para a leitura ou estudos não tão práticos,ach bom relaç organiz text assunt porém perceb taref pass após ler text simpl lei text aparec pergunt óbv ach dev ter ativ real trein ensin prát sobr assunt enfim aplic volt leit estud tão prát,achar organização texto assunto percebir tarefa passar ler texto simples leio texto aparecer pergunta óbvio achar dever atividade realmente treinar ensinar prática assunto enfim aplicativo voltar leitura estudo prático
"Pensei q era somente a primeira lição grátis, tudo bem o aplicativo é bom.",3,2025-07-02 06:57:36,Babbel,Neutro,pensei q era somente a primeira lição grátis tudo bem o aplicativo é bom,pens soment prim liç grátil tud bem aplic bom,pensar lição grátis aplicativo
"bom,mas muitas das vezes faz o cálculo de um jeito impossível de entender e acompanhar",3,2025-05-15 18:33:53,Photomath,Neutro,bommas muitas das vezes faz o cálculo de um jeito impossível de entender e acompanhar,bomm muit vez faz cálcul jeit imposs entend acompanh,bomma muito cálculo jeito impossível entender acompanhar
"Resetei meu celular e agora não consigo acessar, não adiciona conta nenhuma",3,2022-09-20 14:39:57,Google Classroom,Neutro,resetei meu celular e agora não consigo acessar não adiciona conta nenhuma,reset celul agor consig acess adic cont nenhum,resetar celular consigir acessar adicionar contar
A utilização de matériais e atividades dos cursos não funcionam muito bem no mobile. Por muitas vezes tenho que recorrer ao computador.,3,2024-04-20 12:02:39,Udemy,Neutro,a utilização de matériais e atividades dos cursos não funcionam muito bem no mobile por muitas vezes tenho que recorrer ao computador,utiliz matér ativ curs funcion bem mobil muit vez recorr comput,utilização matérial atividade curso funcionar mobile muitas recorrer computador
"Era muito bom, pois explicava o passo a passo do problema. Agora se quiser esse recurso tem que pagar",3,2024-05-16 09:37:13,Photomath,Neutro,era muito bom pois explicava o passo a passo do problema agora se quiser esse recurso tem que pagar,bom poi explic pass pass problem agor quis recurs pag,explicar passo passo problema querer recurso pagar
Bem legal.,3,2020-01-15 00:18:33,Khan Academy,Neutro,bem legal,bem legal,legal
Eu não gostei muito porque oque eu pesquisava não aparecia obs: eu tô no 7°ano,3,2025-01-14 13:28:17,Quizlet,Neutro,eu não gostei muito porque oque eu pesquisava não aparecia obs eu tô no °ano,gost porqu oqu pesquis aparec ob °an,gostar oque pesquisar aparecer obs ano
"muito melhor que o site, até o momento está satisfazendo todas as minhas expectativas.",3,2024-09-22 17:25:22,Udemy,Neutro,muito melhor que o site até o momento está satisfazendo todas as minhas expectativas,melhor sit moment satisfaz tod expect,bom site satisfazer expectativa
"Tema escuro deixa MUITO a desejar, algumas coisas ficam ilegíveis na cor e fundo brancos.",3,2023-02-08 14:34:06,Babbel,Neutro,tema escuro deixa muito a desejar algumas coisas ficam ilegíveis na cor e fundo brancos,tem escur deix desej algum cois fic ileg cor fund branc,tema escuro deixar desejar coisa ficar ilegível cor fundo branco
"Simplesmente não está me deixando logar. Primeiro deu um erro e não estava atualizado as coisas, e ainda aparecia como se uma das turmas q estou, tivesse sido apagada. Então eu desinstalei e instalei novamente, pra que? Agora mesmo que não funciona, não me deixa nem logar. Tudo isso depois da última atualização, se soubesse nem teria atualizado! Façam alguma coisa, por favor🙏🏽! Atualização: Resolveram o problema, já consiga logar!!",3,2023-04-19 18:45:12,Google Classroom,Neutro,simplesmente não está me deixando logar primeiro deu um erro e não estava atualizado as coisas e ainda aparecia como se uma das turmas q estou tivesse sido apagada então eu desinstalei e instalei novamente pra que agora mesmo que não funciona não me deixa nem logar tudo isso depois da última atualização se soubesse nem teria atualizado façam alguma coisa por favor🙏🏽 atualização resolveram o problema já consiga logar,simples deix log prim deu err atual cois aind aparec turm sid apag ent desinstal instal nov pra agor func deix log tud últ atual soub atual faç algum cois favor🙏🏽 atual resolv problem consig log,simplesmente deixar logar dar erro atualizado coisa aparecer turma ter ser apagar desinstalei instalei novamente pra funcionar deixar logar último atualização soubesse ter atualizar façam algum atualização resolver problema consigar logar
"Além de ter alguns idiomas úteis, não têm por exemplo: Japonês, coreano, etc... Oque bastantes pessoas podem querer aprender",3,2024-07-20 07:09:39,Babbel,Neutro,além de ter alguns idiomas úteis não têm por exemplo japonês coreano etc oque bastantes pessoas podem querer aprender,além ter algum idiom útel têm exempl japon core etc oqu bast pesso pod quer aprend,idioma útil japonês coreano etc oque bastante pessoa querer aprender
básico,3,2026-04-06 05:39:12,Hotmart Sparkle,Neutro,básico,básic,básico
"poderiam colocar outras linguas portuguesas como de timor leste, macau, Portugal, Moçambique, o inglês británico, há muitas actualizações no Google sobre idiomas",3,2025-11-13 21:32:51,Babbel,Neutro,poderiam colocar outras linguas portuguesas como de timor leste macau portugal moçambique o inglês británico há muitas actualizações no google sobre idiomas,pod coloc outr lingu portugu tim lest macau portug moçambiqu ingl britán muit actual googl sobr idiom,poder colocar lingua português Timor Leste Macau Portugal moçambique inglês británico muito actualização google idioma
Tablet interface can turn better,3,2025-03-10 19:19:38,Udemy,Neutro,tablet interface can turn better,tablet interfac can turn bett,tablet interface can turn better
O aplicativo ajuda bastante,3,2024-05-02 15:58:49,Photomath,Neutro,o aplicativo ajuda bastante,aplic ajud bast,aplicativo ajudar
"Por alguma razão as vezes abro a app e só mostra os temas de matemática até à trigonometria, mais nada e não consigo usar a app para os temas que quero",3,2019-01-15 11:45:47,Khan Academy,Neutro,por alguma razão as vezes abro a app e só mostra os temas de matemática até à trigonometria mais nada e não consigo usar a app para os temas que quero,algum ra vez abr app mostr tem matemá trigonometr nad consig us app tem quer,algum razão abro app mostrar tema matemática trigonometria consigir app tema
Casting is poor.,3,2025-08-29 13:41:22,Udemy,Neutro,casting is poor,casting po,casting poor
Estou participando do campeonato e está orrivel fazer as recomendações pois acho que as recomendações feitas podiam ir para baixo e deixar só as não feitas ficavam em cima,3,2021-11-03 11:24:37,Khan Academy,Neutro,estou participando do campeonato e está orrivel fazer as recomendações pois acho que as recomendações feitas podiam ir para baixo e deixar só as não feitas ficavam em cima,particip campeonat orrivel faz recomend poi ach recomend feit pod baix deix feit fic cim,participar campeonato orrivel recomendação achar recomendação fazer poder deixar fazer ficar
"ele é muito bom, eu peguei o ""Duolingo Max"", mas algo deu errado meu aplicativo fica todo tempo como se eu estivesse off-line, mesmo meu wi-fe estando no 5g... estranho.",3,2026-04-01 20:19:10,Duolingo,Neutro,ele é muito bom eu peguei o duolingo max mas algo deu errado meu aplicativo fica todo tempo como se eu estivesse offline mesmo meu wife estando no g estranho,bom peg duoling max alg deu err aplic fic tod temp offlin wif est estranh,peguei duolingo max dar errar aplicativo ficar estar offline wife estar estranho
"eu dei e ficou bom, como pode acontecer, está em ótima tarefa",3,2026-04-03 09:52:29,Duolingo,Neutro,eu dei e ficou bom como pode acontecer está em ótima tarefa,dei fic bom pod acontec ótim taref,dar ficar acontecer ótimo tarefa
"Muito mecanizado. Deixa um pouco a desejar na parte de diálogos e do speaking. Ademais, as aulas particulares são muito mais caras do que a dos concorrentes.",3,2023-06-21 22:52:39,Babbel,Neutro,muito mecanizado deixa um pouco a desejar na parte de diálogos e do speaking ademais as aulas particulares são muito mais caras do que a dos concorrentes,mecan deix pouc desej part diálog speaking adem aul particul car concorr,mecanizado deixar desejar diálogo speaking aula particular cara concorrente
bem simples e não funciona no meu outro celular que é um j7 que infelizmente a bateria dura mais de 2x do que o Samsung a20 que estou tendo de usar para estudar quando não posso usar computador,3,2024-04-22 13:20:34,Udemy,Neutro,bem simples e não funciona no meu outro celular que é um j que infelizmente a bateria dura mais de x do que o samsung a que estou tendo de usar para estudar quando não posso usar computador,bem simpl func outr celul infeliz bat dur samsung tend us estud poss us comput,simples funcionar outro celular infelizmente bateria durar samsung ter estudar computador
O aplicativo nao tem o curso que estou fazendo que é programação.,3,2019-02-05 13:09:59,Khan Academy,Neutro,o aplicativo nao tem o curso que estou fazendo que é programação,aplic nao curs faz program,aplicativo nao curso fazer programação
ok,3,2023-03-31 14:14:55,Google Classroom,Neutro,ok,,
"Não consigo cancelar a minha assinatura. Sinceramente, isso é um desrespeito ao consumidor!",3,2026-04-05 06:54:19,Duolingo,Neutro,não consigo cancelar a minha assinatura sinceramente isso é um desrespeito ao consumidor,consig cancel assinat sinc desrespeit consum,consigir cancelar assinatura sinceramente desrespeito consumidor
o aplicativo é bom,3,2025-05-15 19:39:58,Google Classroom,Neutro,o aplicativo é bom,aplic bom,aplicativo
"O APP é muito bom me ajudou bastante, mas depois de um tempo usando o ""passo a passo"" ele simplesmente me obrigou a assinar o Plus e se eu não assinasse eu não poderia ver o passo a passo da conta.",3,2024-08-20 11:00:10,Photomath,Neutro,o app é muito bom me ajudou bastante mas depois de um tempo usando o passo a passo ele simplesmente me obrigou a assinar o plus e se eu não assinasse eu não poderia ver o passo a passo da conta,app bom ajud bast temp us pass pass simples obrig assin plu assin pod ver pass pass cont,app ajudar usar passo passo simplesmente obrigar assinar plus assinasse poder passo passo conta
"Infelizmente quando fazemos a pronuncia, por mais correta que esteja o app não reconhece como certa. A plavra Eigth é pronunciado pelo app somete como ""ei"" e quando falo igual sempre da erro.",3,2025-01-12 15:16:35,Babbel,Neutro,infelizmente quando fazemos a pronuncia por mais correta que esteja o app não reconhece como certa a plavra eigth é pronunciado pelo app somete como ei e quando falo igual sempre da erro,infeliz faz pronunc corret app reconhec cert plavr eigth pronunci app somet fal igual sempr err,infelizmente pronuncia correto estar app reconhecer certo plavra Eigth pronunciar app somete falar igual erro
app trava em determinada telas.,3,2026-04-01 20:57:07,Duolingo,Neutro,app trava em determinada telas,app tr determin tel,app trar determinar tela
Infelizmente em problemas de geometria não funciona.,3,2024-09-05 12:08:09,Photomath,Neutro,infelizmente em problemas de geometria não funciona,infeliz problem geometr func,infelizmente problema geometria funcionar
"faz o que deveria fazer e nada mais, o app é bom",3,2025-10-21 11:30:58,Google Classroom,Neutro,faz o que deveria fazer e nada mais o app é bom,faz dev faz nad app bom,dever app
"não sei oq eu faço, eu já desinstalei e instalei dnv, eu paguei um curso mais não pega o vídeo das aulas dps da aula 7 não pega de jeito nenhum, é uma perca de tempo 😮‍💨🙄",3,2025-12-02 15:25:16,Udemy,Neutro,não sei oq eu faço eu já desinstalei e instalei dnv eu paguei um curso mais não pega o vídeo das aulas dps da aula não pega de jeito nenhum é uma perca de tempo 😮‍💨🙄,sei faç desinstal instal dnv pag curs peg víde aul dp aul peg jeit nenhum perc temp 😮‍💨🙄,desinstalei instalei dnv paguei curso pegar vídeo aula dps aula pegar jeito nenhum perca
Porquê grande parte dos vídeos esta em inglês e não em português ? Fica difícil assim.,3,2018-10-01 23:30:21,Khan Academy,Neutro,porquê grande parte dos vídeos esta em inglês e não em português fica difícil assim,porqu grand part víde ingl portugu fic difícil assim,vídeo inglês português ficar difícil
"O aplicativo em si era perfeito, até adicionarem a versão premium, tem que pagar para ver a maioria dos passos, isso é muito ruim para nós estudantes.",3,2024-02-25 13:11:47,Photomath,Neutro,o aplicativo em si era perfeito até adicionarem a versão premium tem que pagar para ver a maioria dos passos isso é muito ruim para nós estudantes,aplic perfeit adicion vers premium pag ver maior pass ruim estud,aplicativo perfeito adicionar versão premium pagar passo ruim estudante
Falta a opção de espanhol da América do Sul,3,2024-09-07 13:21:17,Babbel,Neutro,falta a opção de espanhol da américa do sul,falt opç espanhol amér sul,opção espanhol América Sul
"Ultimamente está sendo bem difícil acessar os conteúdos, é que as páginas não estão carregando mesmo com uma boa internet. -Atualização,está sendo bem cansativo acessar pelo celular, não carrega, as páginas não abrem e fazer login da minha conta está á cada dia mais difícil. Estou querendo assistir as aulas pelo celular e não estou conseguindo.",3,2023-11-19 19:10:44,Udemy,Neutro,ultimamente está sendo bem difícil acessar os conteúdos é que as páginas não estão carregando mesmo com uma boa internet atualizaçãoestá sendo bem cansativo acessar pelo celular não carrega as páginas não abrem e fazer login da minha conta está á cada dia mais difícil estou querendo assistir as aulas pelo celular e não estou conseguindo,ultim send bem difícil acess conteúd págin carreg boa internet atualizaçãoest send bem cans acess celul carreg págin abr faz login cont cad dia difícil quer assist aul celul consegu,ultimamente ser difícil acessar conteúdo página carregar Internet atualizaçãoestar ser cansativo acessar celular carregar página abrir login conta dia difícil querer assistir aula celular conseguir
"O aplicativo em si é muito útil, só tem um pequeno problema, as vezes em comentários para a turma, o último comentário fica abaixo da linha de ""Fazer comentário para a turma"", impossibilitando de vê-lo. Gostaria que corrigissem isso, deixando o último comentário legível.",3,2024-07-29 23:05:22,Google Classroom,Neutro,o aplicativo em si é muito útil só tem um pequeno problema as vezes em comentários para a turma o último comentário fica abaixo da linha de fazer comentário para a turma impossibilitando de vêlo gostaria que corrigissem isso deixando o último comentário legível,aplic útil pequen problem vez coment turm últ coment fic abaix linh faz coment turm impossibilit vêl gost corrig deix últ coment leg,aplicativo útil pequeno problema comentário turma comentário ficar abaixo linha comentário turma impossibilitar vêlo gostar corrigir deixar comentário legível
"O app é ótimo para problemas básicos, possuindo uma interface bastante acessível para todos os públicos (de crianças no fundamental até alunos de graduação em exatas).",3,2025-09-30 16:33:09,Photomath,Neutro,o app é ótimo para problemas básicos possuindo uma interface bastante acessível para todos os públicos de crianças no fundamental até alunos de graduação em exatas,app ótim problem básic possu interfac bast acess tod públic crianç fundament alun gradu exat,app bom problema básico possuir interface acessível público criança fundamental aluno graduação exata
"Ótimo app ja fiz varios cursos ,por favor voltem opção pagamento via pix facilita para os usuários",3,2022-07-13 19:15:50,Udemy,Neutro,ótimo app ja fiz varios cursos por favor voltem opção pagamento via pix facilita para os usuários,ótim app fiz vari curs favor volt opç pag via pix facilit usu,bom app fiz vario curso voltar opção pagamento ver pix facilito usuário
Devia ter português de portugal.,3,2026-02-07 02:13:42,Babbel,Neutro,devia ter português de portugal,dev ter portugu portug,dever português Portugal
"Só é um pouco bugado na hora de logar na sua conta, isso me estressa profundamente.",3,2024-03-02 20:17:54,Khan Academy,Neutro,só é um pouco bugado na hora de logar na sua conta isso me estressa profundamente,pouc bug hor log cont estress profund,bugar hora logar conta estressar profundamente
"O aplicativo precisa de uma evolução para funcionar em segunda plano e com a tela bloqueada, alguns cursos tem audios e preciso deixar o celular desbloqueado para conseguir ficar ouvindo.",3,2025-08-08 12:25:43,Udemy,Neutro,o aplicativo precisa de uma evolução para funcionar em segunda plano e com a tela bloqueada alguns cursos tem audios e preciso deixar o celular desbloqueado para conseguir ficar ouvindo,aplic precis evoluç funcion segund plan tel bloque algum curs audi precis deix celul desbloque consegu fic ouv,aplicativo precisar evolução funcionar plano tela bloquear curso audio preciso deixar celular desbloquear conseguir ficar ouvir
"O aplicativo começou excelente, mas nos últimos dias apresenta dificuldades. Clico na aula do dia e não carrega.",3,2025-08-16 10:30:05,Babbel,Neutro,o aplicativo começou excelente mas nos últimos dias apresenta dificuldades clico na aula do dia e não carrega,aplic começ excel últ dia apresent dificuldad clic aul dia carreg,aplicativo começar excelente último dia apresentar dificuldade clico aula dia carregar
"Uso o app no celular e amo, mas ele não funcionou no tablet 😔",3,2024-09-22 15:07:32,Babbel,Neutro,uso o app no celular e amo mas ele não funcionou no tablet 😔,uso app celul amo funcion tablet,usar app celular amo funcionar tablet
"App e muito bom , porém o download não reproduzir em off-line. Só isso precisa ser resolvido.",3,2023-10-05 12:37:03,Udemy,Neutro,app e muito bom porém o download não reproduzir em offline só isso precisa ser resolvido,app bom porém download reproduz offlin precis resolv,app download reproduzir offline precisar resolver
Enquanto não tiver um aplicativo para Android Tv nunca será a melhor plataforma de estudos... uma vergonha não ter um app para tv,3,2025-12-04 22:30:22,Udemy,Neutro,enquanto não tiver um aplicativo para android tv nunca será a melhor plataforma de estudos uma vergonha não ter um app para tv,enquant aplic android nunc melhor plataform estud vergonh ter app,ter aplicativo android ser bom plataforma estudo vergonha app
"Honestamente, não é um aplicativo ruim, só descobri que o duolinguo é bem melhor.",3,2023-08-18 07:35:54,Babbel,Neutro,honestamente não é um aplicativo ruim só descobri que o duolinguo é bem melhor,honest aplic ruim descobr duolingu bem melhor,honestamente aplicativo ruim descobrir duolinguo bom
prático e eficiente,3,2026-04-02 08:04:19,Duolingo,Neutro,prático e eficiente,prát efici,prático eficiente
"Aplicativo trava no meio do curso, mesmo rei ia do o celular, não resolver.... A lista de aulas não carrega mais....",3,2022-09-24 15:23:18,Udemy,Neutro,aplicativo trava no meio do curso mesmo rei ia do o celular não resolver a lista de aulas não carrega mais,aplic tr mei curs rei celul resolv list aul carreg,aplicativo trar curso rei celular resolver lista aula carregar
"O Aplicativo é muito limitado para quem não paga 40 REAIS POR MÊS. Isso é um absurdo, ele não te deixa fazer quase nada, e se você quiser ter acesso total você precisaria pagar 40 reais todos os meses. Mas por outro lado, o aplicativo realmente funciona e tem 1 milhão de funcionalidades como, Vídeo chamada, lições tipo as do Duolingo, podcasts e muito mais. Além da infinidade de idiomas que você pode escolher. Em resumo, o aplicativo poderia ser melhor. Além disso as aulas lives são pra idade 16",3,2023-09-26 03:06:44,Babbel,Neutro,o aplicativo é muito limitado para quem não paga reais por mês isso é um absurdo ele não te deixa fazer quase nada e se você quiser ter acesso total você precisaria pagar reais todos os meses mas por outro lado o aplicativo realmente funciona e tem milhão de funcionalidades como vídeo chamada lições tipo as do duolingo podcasts e muito mais além da infinidade de idiomas que você pode escolher em resumo o aplicativo poderia ser melhor além disso as aulas lives são pra idade,aplic limit pag real mê absurd deix faz quas nad quis ter acess total precis pag real tod mes outr lad aplic real func milhã funcional víde cham liç tip duoling podcast além infin idiom pod escolh resum aplic pod melhor além diss aul liv pra idad,aplicativo limitar pagar real absurdo deixar quase querer acesso total precisar pagar real outro aplicativo realmente funcionar milhão funcionalidade vídeo chamar lição duolingo podcasts infinidade idioma escolher resumo aplicativo poder bom aula live pra idade
Bomm,3,2024-01-24 07:16:40,Photomath,Neutro,bomm,bomm,bomm
me bloquearam o acesso em 89% do curso. Edit: Fiz pelo site.,3,2022-07-30 17:38:17,Udemy,Neutro,me bloquearam o acesso em do curso edit fiz pelo site,bloque acess curs edit fiz sit,bloquear acesso curso edit fiz site
"o aplicativo parece bom. mas, quando instalei, esperava uma variedade maior pra falantes de pprtuguês. se adicionar alguns outros, eu considero o retorno.",3,2026-03-31 21:16:18,Duolingo,Neutro,o aplicativo parece bom mas quando instalei esperava uma variedade maior pra falantes de pprtuguês se adicionar alguns outros eu considero o retorno,aplic parec bom instal esper variedad mai pra fal pprtugu adicion algum outr consider retorn,aplicativo instalei esperar variedade pra falante pprtuguês adicionar considerar retorno
"Não gostei do visual, de do método. assinei um plano de 3 meses só, mas a renovação é automática e eu nem usei mais o app. Resumindo, quase um ano pagando sem saber...",3,2023-06-07 13:26:02,Babbel,Neutro,não gostei do visual de do método assinei um plano de meses só mas a renovação é automática e eu nem usei mais o app resumindo quase um ano pagando sem saber,gost visual métod assin plan mes renov automá use app resum quas ano pag sab,gostar visual método assinei plano renovação automático usei app resumir quase ano pagar
"Único defeito e detalhe , é a comunicação com a internet, como se precisasse a melhor do mundo por que nenhuma internet consegue rodar sem travamento esse app,mas é só esse detalhe peço que arrumem por favor pois é muito importante pra todos nós que compramos cursos",3,2024-09-17 12:48:31,Udemy,Neutro,único defeito e detalhe é a comunicação com a internet como se precisasse a melhor do mundo por que nenhuma internet consegue rodar sem travamento esse appmas é só esse detalhe peço que arrumem por favor pois é muito importante pra todos nós que compramos cursos,únic defeit detalh comunic internet precis melhor mund nenhum internet conseg rod trav appm detalh peç arrum favor poi import pra tod compr curs,único defeito detalhir comunicação Internet precisar bom mundo Internet conseguir rodar travamento appma detalhe peço arrumer importante pra comprar curso
gostei.,3,2025-02-19 11:55:37,Quizlet,Neutro,gostei,gost,gostar
Essa última atualização tornou impossível usar o aplicativo no celular. Fica pulando de lição em lição sem parar. O bug incomoda muito.,3,2022-07-19 07:42:01,Udemy,Neutro,essa última atualização tornou impossível usar o aplicativo no celular fica pulando de lição em lição sem parar o bug incomoda muito,últ atual torn imposs us aplic celul fic pul liç liç par bug incomod,último atualização tornar impossível aplicativo celular ficar pular lição lição parar bug incomodar
Otimo,3,2022-09-12 12:27:58,Udemy,Neutro,otimo,otim,otimo
muito bom,3,2026-01-24 19:14:56,Quizlet,Neutro,muito bom,bom,
muito bom mi salvo,3,2025-05-09 20:58:00,Quizlet,Neutro,muito bom mi salvo,bom salv,salvo
"O aplicativo é bom e ótimo pra quem precisa porém depois de um tempo ele para de funcionar, isto já me aconteceu com outros celulares.",3,2023-10-08 22:34:23,Google Classroom,Neutro,o aplicativo é bom e ótimo pra quem precisa porém depois de um tempo ele para de funcionar isto já me aconteceu com outros celulares,aplic bom ótim pra precis porém temp funcion acontec outr celul,aplicativo bom pra precisar funcionar acontecer celular
"Já tirei a otimização da bateria, permiti o app em segundo plano e ele simplesmente não notifica no meu celular(só no tablet) Preciso das notificações para as aulas...Gostaria que tivesse a opção de buscar com uma lupa os itens na sala, e que tivesse uma aba com tudo em lista.",3,2025-09-28 09:53:08,Google Classroom,Neutro,já tirei a otimização da bateria permiti o app em segundo plano e ele simplesmente não notifica no meu celularsó no tablet preciso das notificações para as aulasgostaria que tivesse a opção de buscar com uma lupa os itens na sala e que tivesse uma aba com tudo em lista,tir otimiz bat permit app segund plan simples notif celularsó tablet precis notific aulasgost opç busc lup it sal aba tud list,tirar otimização bateria permiti app plano simplesmente notificar celularsó tablet preciso notificação aulasgostaria ter opção buscar lupa item sala ter aba lista
Não consegui deativar os efeitos sonoros irritantes.,3,2024-01-23 23:20:39,Babbel,Neutro,não consegui deativar os efeitos sonoros irritantes,consegu deativ efeit sonor irrit,conseguir deativar efeito sonoro irritante
"a gramática -- para língua Alemã ao menos -- parece um pouco limitada. embora o aplicativo da Altissia seja mais grosseiro, ofereceu mais opções de exercícios gramaticais.",3,2025-04-24 14:31:15,Babbel,Neutro,a gramática para língua alemã ao menos parece um pouco limitada embora o aplicativo da altissia seja mais grosseiro ofereceu mais opções de exercícios gramaticais,gramá língu alemã menos parec pouc limit emb aplic altiss gross oferec opç exercíci gramatic,gramática língua alemã limitar aplicativo altissia ser grosseiro oferecer opção exercício gramatical
"O aplicativo é interessante e os cursos são acessíveis, mas não consigo assistir as aulas com fone bluetooth, pq fica dando problema desconectando toda hora",3,2025-12-03 18:22:06,Udemy,Neutro,o aplicativo é interessante e os cursos são acessíveis mas não consigo assistir as aulas com fone bluetooth pq fica dando problema desconectando toda hora,aplic interess curs acess consig assist aul fon bluetooth fic dand problem desconect tod hor,aplicativo interessante curso acessível consigir assistir aula fone bluetooth ficar dar problema desconectar hora
O app não está carregando no meu aparelho mesmo com internet.,3,2021-03-06 19:33:43,Khan Academy,Neutro,o app não está carregando no meu aparelho mesmo com internet,app carreg aparelh internet,app carregar aparelho Internet
"Recebi um e-mail de que uma pergunta em um curso tinha sido respondida. O email tenta abrir o app, mas o app não me deixa ver as notificações. No site, as notificações carregam pra sempre e nunca abrem. Por favor, coloquem essa funcionalidade no app.",3,2023-03-21 19:05:58,Udemy,Neutro,recebi um email de que uma pergunta em um curso tinha sido respondida o email tenta abrir o app mas o app não me deixa ver as notificações no site as notificações carregam pra sempre e nunca abrem por favor coloquem essa funcionalidade no app,receb email pergunt curs sid respond email tent abr app app deix ver notific sit notific carreg pra sempr nunc abr favor coloqu funcional app,recebir email pergunta curso ter ser respondido email tentar abrir app app deixar notificação site notificação carregar pra abrir coloquem funcionalidade app
"O método é interessante mas eu nao consigo acessar os podcasts, áudios oferecidos! E não tem como entrar em contato para notificar o erro do aplicativo, pelo próprio app. 🤷🏾‍♀️",3,2024-05-04 14:04:50,Babbel,Neutro,o método é interessante mas eu nao consigo acessar os podcasts áudios oferecidos e não tem como entrar em contato para notificar o erro do aplicativo pelo próprio app 🤷🏾‍♀️,métod interess nao consig acess podcast áudi oferec entr contat notific err aplic própri app 🤷🏾‍♀️,método interessante nao consigo acessar podcasts áudio oferecer entrar contato notificar erro aplicativo app
Definitivamente não é o melhor jeito de estudar mas é muito bom para revisar antes de provas,3,2024-10-25 09:41:54,Quizlet,Neutro,definitivamente não é o melhor jeito de estudar mas é muito bom para revisar antes de provas,definitiv melhor jeit estud bom revis ant prov,definitivamente bom jeito estudar revisar prova
"Sinceramente, aprendi algumas palavras, mas praticamente só é bom se tiveres Premium, porque ficar com um limite para aprender parece até uma ditadura virtual!",3,2026-04-05 10:52:26,Duolingo,Neutro,sinceramente aprendi algumas palavras mas praticamente só é bom se tiveres premium porque ficar com um limite para aprender parece até uma ditadura virtual,sinc aprend algum palavr pratic bom tiv premium porqu fic limit aprend parec ditad virtual,sinceramente aprender palavra praticamente tiver premiumr ficar limite aprender ditadura virtual
"Os cursos que estou inscrito, a maioria não está abrindo, por mais que clico para assistir. O APP não está funcionando!",3,2025-04-18 01:15:10,Udemy,Neutro,os cursos que estou inscrito a maioria não está abrindo por mais que clico para assistir o app não está funcionando,curs inscrit maior abr clic assist app funcion,curso inscrito abrir clico assistir app funcionar
"Antes da última atualização nunca tinha enfrentado problemas com o aplicativo. Depois de atualizar, a reprodução de vídeo no meu tablet se mescla ao menu lateral que mostra os comentários da aula ou o dashboard de conteúdo do curso. De forma que o vídeo e o conteúdo lateral fiquem sobrepostos, atrapalhando muito a experiência. Não tive esse problema no meu celular e computador após a atualização, acho que é um bug devido a má programação para dispositivos com resoluções diferentes.",3,2024-04-08 17:13:51,Udemy,Neutro,antes da última atualização nunca tinha enfrentado problemas com o aplicativo depois de atualizar a reprodução de vídeo no meu tablet se mescla ao menu lateral que mostra os comentários da aula ou o dashboard de conteúdo do curso de forma que o vídeo e o conteúdo lateral fiquem sobrepostos atrapalhando muito a experiência não tive esse problema no meu celular e computador após a atualização acho que é um bug devido a má programação para dispositivos com resoluções diferentes,ant últ atual nunc enfrent problem aplic atual reproduç víde tablet mescl menu later mostr coment aul dashboard conteúd curs form víde conteúd later fiqu sobrepost atrapalh experi problem celul comput após atual ach bug dev program disposi resoluç difer,último atualização ter enfrentar problema aplicativo atualizar reprodução vídeo tablet mescla menu lateral mostrar comentário aula dashboard conteúdo curso vídeo conteúdo lateral ficar sobrepor atrapalhar experiência problema celular computador atualização achar bug devido programação dispositivo resolução diferente
"queria ter a assinatura só de um mês,tem como?",3,2025-10-01 23:06:26,Babbel,Neutro,queria ter a assinatura só de um mêstem como,quer ter assinat mêst,querer assinatura mêstem
